TravelTime,PartTimeJob,Relationship,Father's_education,Mother's_education,StudyHours,AttendenceLecs,Concentrate,Friends,SocialMediaTime,extra curricular,StudyPattern,Marks
4,0,1,2,2,1,1,1,0,3,1,2,20 to 29
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
4,0,1,2,1,1,1,3,0,4,1,2,30 to 39
4,0,1,2,1,1,1,3,0,4,1,2,30 to 39
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
4,1,0,2,3,2,1,1,0,3,0,2,30 to 39
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
4,1,0,2,3,2,1,1,0,3,0,2,30 to 39
1,1,1,1,1,1,1,3,1,3,1,2,30 to 39
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
3,1,1,1,2,1,3,1,1,3,1,2,30 to 39
4,1,0,2,3,2,1,1,0,3,0,2,30 to 39
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
4,1,0,2,1,2,1,1,1,3,1,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
4,0,1,2,1,1,1,3,0,4,1,2,30 to 39
1,1,1,1,1,1,1,3,1,3,1,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
4,1,0,2,3,2,1,1,0,3,0,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
3,1,1,1,2,1,3,1,1,3,1,2,30 to 39
4,1,0,2,3,2,1,1,0,3,0,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
1,1,1,1,1,1,1,3,1,3,1,2,30 to 39
4,1,0,2,1,2,1,1,1,3,1,2,30 to 39
4,1,0,2,1,2,1,1,1,3,1,2,30 to 39
4,1,0,2,1,2,1,1,1,3,1,2,30 to 39
3,1,1,1,2,1,3,1,1,3,1,2,30 to 39
4,0,1,2,1,1,1,3,0,4,1,2,30 to 39
4,0,0,2,3,2,1,1,0,1,1,2,40 to 49
4,1,0,2,2,2,1,1,0,3,1,2,40 to 49
3,1,1,2,2,1,1,1,0,3,1,2,40 to 49
4,1,0,3,2,1,1,1,1,4,1,2,40 to 49
4,0,1,2,2,1,1,1,0,3,1,2,40 to 49
4,0,0,2,3,2,1,1,0,1,1,2,40 to 49
1,0,0,1,1,2,2,1,1,3,1,2,40 to 49
4,1,0,3,2,1,1,1,1,4,1,2,40 to 49
4,1,0,2,2,2,1,1,0,3,1,2,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
3,0,1,2,2,2,1,1,1,3,1,2,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
4,1,0,3,2,1,1,1,1,4,1,2,40 to 49
4,0,0,2,3,2,1,1,0,1,1,2,40 to 49
3,1,1,2,2,1,1,1,0,3,1,2,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
4,0,0,2,3,2,1,1,0,1,1,2,40 to 49
4,1,0,3,2,1,1,1,1,4,1,2,40 to 49
4,0,1,2,2,1,1,1,0,3,1,2,40 to 49
4,0,0,2,3,2,1,1,0,1,1,2,40 to 49
4,1,0,2,2,2,1,1,0,3,1,2,40 to 49
4,0,1,2,2,1,1,1,0,3,1,2,40 to 49
4,1,0,3,2,1,1,1,1,4,1,2,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
3,1,1,2,2,1,1,1,0,3,1,2,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
4,0,1,2,2,1,1,1,0,3,1,2,40 to 49
4,0,1,2,2,1,1,1,0,3,1,2,40 to 49
3,1,1,2,2,1,1,1,0,3,1,2,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
4,1,0,2,2,2,1,1,0,3,1,2,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
3,1,0,1,1,2,2,1,0,1,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
3,1,0,1,1,2,2,1,0,1,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
3,0,1,2,1,2,1,1,1,3,0,2,50 to 59
3,1,0,1,1,2,2,1,0,1,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
3,1,1,3,2,2,2,1,0,2,1,1,50 to 59
3,0,1,2,3,1,1,1,0,1,0,2,50 to 59
3,0,1,2,1,2,1,1,1,3,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
3,1,0,1,1,2,2,1,0,1,0,2,50 to 59
3,0,1,2,3,1,1,1,0,1,0,2,50 to 59
3,0,1,2,1,2,1,1,1,3,0,2,50 to 59
3,0,1,2,3,1,1,1,0,1,0,2,50 to 59
3,1,1,3,2,2,2,1,0,2,1,1,50 to 59
3,0,1,2,1,2,1,1,1,3,0,2,50 to 59
3,1,0,1,1,2,2,1,0,1,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
1,0,0,1,2,3,2,1,1,3,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
3,0,1,2,1,2,1,1,1,3,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
1,0,0,1,2,3,2,1,1,3,0,2,50 to 59
